id	systematic_name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	common_name
2	YAL002W	1.060264	0.69228303	0.04436664	-0.17073439	0.07104848	0.170011	0.6325311	-2.4740052	-0.63646406	0.86948186	-0.7561421	-1.7759855	0.29348803	-0.68788826	0.75052446	0.8807913	0.34986842	-0.3745017	-0.109104075	0.082910284	-0.37530914	-1.1385775	1.1091727	-1.0264248	-1.0422937	1.0273956	-0.64404505	-0.5156205	-1.0930845	1.8788495	0.42364195	0.84779286	0.74258906	-1.1812502	-0.14982593	-0.53639126	-0.5988946	1.023141	-0.31951272	2.1167343	-0.8255964	0.11979016	0.5277465	-0.08822907	-0.44378108	-0.9873035	-0.38630632	1.5164367	-0.32727757	-1.0387796	-1.3144256	0.7896313	-0.60092294	0.8508449	-0.736878	-0.5982874	0.67661875	1.2099569	0.5766925	-0.17919487	-0.32715422	-0.423808	-1.2645444	0.6179238	-0.9983292	-0.7655173	-2.2342513	-0.38780525	0.25750694	0.76736516	0.41431648	0.16369835	-0.7094093	-0.7031705	-0.0045202584	0.70889723	0.022741873	0.5196789	0.26275364	-1.142047	0.8069118	0.09369048	-0.16466646	-0.13547653	1.1883243	1.4840587	2.1516645	-0.03375845	-0.1804837	1.2379402	1.7796541	0.5578359	0.69329625	-1.38284	-0.21837455	0.4183903	0.18941192	0.30006105	0.4657619	-0.65517545	-0.14266884	-0.78773254	0.58431375	0.8854009	1.1654786	1.3639693	-0.6484362	-0.12119559	0.3327303	0.12863778	0.06690884	-1.0874082	-1.3780828	1.1726044	0.738496	0.628927	-0.6949072	1.60678	0.24833961	-0.4789031	1.5289011	0.07814662	0.21899837	0.024611233	0.2253214	0.69223714	1.0696288	1.3049953	VPS8
4	YAL005C	0.5150084	-0.49263832	-0.12788029	0.26237276	0.28651848	-0.50785786	0.5195631	0.01884598	-0.011720339	0.1661481	0.36511979	-0.5884256	0.21148749	-0.56762826	-0.5872813	0.21351014	-0.2948075	-0.4917058	0.5880394	0.1948368	0.6176777	-0.802642	0.13822003	-0.0054812063	-0.357566	0.42224413	-0.110208035	-0.32707608	0.3436657	0.24380308	0.6495663	0.117226385	0.5424743	-0.37240645	-0.26507905	-0.3952198	-0.02712594	0.68050265	-0.703676	0.5413855	-0.0535828	0.66414815	0.15510872	-0.36100933	0.04982686	-0.547586	0.21702726	0.40954933	-0.29985747	-0.5943283	-0.6561072	-0.18122606	0.55387694	-0.15645206	0.062509865	-0.3420767	-0.214611	0.21416602	0.3578359	-0.08085002	0.38185135	0.07388963	-0.26913053	-0.18288293	-0.97761846	-0.08153109	-0.4484354	-0.33506495	0.8109875	0.40252993	0.81739306	0.7058854	0.60379	0.018555472	0.022889605	0.13643841	0.26155543	-0.4136856	0.3682076	-0.43089864	-0.40146872	0.10037817	-0.5171941	-0.37188956	0.24326503	0.39974818	0.50654083	-0.5613189	-0.05592714	0.23547392	0.5349614	-0.11111924	0.40398166	-0.52114916	-0.023765558	-0.07631279	-0.2574024	0.83070314	0.538135	-0.88616186	-0.3280878	-0.52963847	-0.084343925	0.22078878	0.37997958	0.41755915	-0.7009683	0.18331233	-0.1913811	0.27758855	0.0897497	-0.108271606	-0.1623794	0.8586889	0.26682338	0.03942833	-0.30565614	0.37390015	0.018697457	-0.1405373	0.1353538	0.12407352	0.03308211	0.17562552	-0.19057962	-0.1503093	0.18742606	0.1866591	SSA1
5	YAL007C	0.51744235	-0.37339038	0.1660744	0.15716785	0.10849724	-0.052755207	0.16995883	-0.09880093	0.35028672	0.5253935	-0.5840652	-0.59804946	0.10130735	0.2447826	0.19123586	0.44418335	-0.21563686	-0.10481678	-0.036752902	0.30580354	0.22207159	-0.83554786	0.09327743	-0.117995344	0.5046911	0.5183121	-0.029171325	-0.41068557	0.23729339	0.4004599	0.111327365	0.070854545	0.3327957	-0.7005282	-0.25744024	-0.29609996	-0.6887169	0.4099677	-0.287893	0.34519535	-0.75683284	0.26906177	-0.2017112	0.02489045	0.057446428	-0.67690456	-0.17651355	0.1693415	-0.046773218	0.23199195	-0.47150332	-0.30260566	0.30366662	0.084068194	-0.027462851	-0.6964266	-0.45339975	0.34449217	0.3059191	-0.45705667	0.024740513	-0.31201214	-0.08188905	0.07699731	-0.7307467	-0.60159	-0.6215825	-0.3226029	0.4733709	0.056400277	0.23153521	0.10295152	-0.119922034	0.11562226	-0.14080192	0.38263443	0.05246778	0.35154277	0.50894547	-0.6559444	-0.37562424	0.2181963	-0.1234196	-0.32077792	0.38957706	0.5853124	0.48624974	-0.76995045	0.13057537	0.5045767	0.6720564	-0.08405501	0.41562033	-0.17027304	-0.13306426	0.12458371	-0.25527957	0.0699623	0.516507	-0.4426799	-0.21089955	-0.15929478	-0.31552753	0.24461894	0.088478565	-0.046710324	0.091920644	-0.015038328	-0.5608319	-0.17386825	-0.10108905	-0.66068584	-0.39564952	0.55499095	-0.25013492	-0.1632571	0.087004006	0.6527429	0.24634358	-0.010805387	0.07603267	-0.1445678	-0.32454357	0.13883197	0.16970323	-0.16977294	0.07824287	0.21472226	ERP2
6	YAL008W	0.17808154	0.30050892	-0.692002	-0.19630614	-0.3120378	0.30879885	0.5700195	0.23315379	0.2437601	0.0889967	0.04092134	-0.12228902	0.32419735	-0.29123977	-0.35512698	-0.14224043	-0.60652804	-0.8083803	0.54134613	0.1811051	0.3298308	-0.5909289	0.021188809	0.8488736	0.1635127	0.44268176	0.04503909	-0.39299166	0.088324934	1.3199883	0.7684026	0.6382419	0.2540867	-0.44004086	-0.31830877	-0.7038056	-0.18307921	-0.049793035	-0.18471426	0.5983178	-0.54675215	0.13643561	0.82648635	0.14439759	-0.055582736	-0.73237795	-0.22685698	-0.03644551	0.3665363	0.20208071	0.30640876	-0.15693678	0.48121622	0.14160763	0.3692234	-0.32292432	0.7311431	0.52934086	0.17796446	-0.5472813	-0.14701779	-0.37416035	0.13645889	0.33532917	-0.51824516	0.13481377	-0.5596247	-0.6580431	0.14833567	-0.23304692	0.11589622	0.25596046	0.1910274	-0.06963584	0.20914157	-0.049440823	-0.30078512	0.16144203	0.109681986	-0.7809063	0.51452893	0.064585604	-0.3140978	-0.5421901	0.38069957	0.2219175	0.16940348	-0.8368111	-0.34977818	0.4833584	0.29229376	0.10912812	-0.55874974	-0.23156735	-0.589028	0.032112483	0.46241763	0.32133844	0.40945786	-1.1018528	-0.38413146	0.014540752	0.54859865	0.31057507	0.4164103	-0.19733398	-0.53532565	-0.2789916	0.23741582	-0.6981275	0.31523207	-0.23843606	0.31994238	0.12594047	0.4216719	0.14938708	-0.3337602	-0.17896673	-0.5387843	-0.4540259	0.113253176	-0.24714434	-0.47028673	0.3197162	-0.1696873	0.089677155	0.20125401	0.38424012	FUN14
7	YAL009W	1.3290293	0.19213282	-0.7293955	-1.0580739	-0.49589604	0.17375429	1.1459421	-0.1107099	0.031780645	1.2207042	-1.204399	-1.0932872	0.53432673	-0.052236743	-0.55291176	0.24794978	0.48216653	0.2547795	-0.60670197	-0.10407365	-0.92690665	-0.59783167	-0.017702071	0.00576425	-0.06782212	1.0218747	-0.66142786	-0.5688652	-0.25050274	1.3704485	-0.36818504	0.93922985	0.23074785	-0.8534007	0.874206	0.13738121	-0.0029353702	0.37448975	-0.9996109	0.5515772	-0.73499376	0.32551423	0.44538376	0.4514451	-0.537561	-1.8307213	-1.0346113	1.3765873	0.45324093	-0.23407571	0.4509945	1.0013931	-0.59694016	0.720171	-0.09393811	-1.9561446	-0.30202243	-1.2608783	0.88274527	-1.2658981	-0.93484175	-0.073059365	-1.4251744	0.06282166	-1.4095899	-0.46217978	-0.43482447	-1.6846967	-0.1896756	1.1236205	-0.102081046	1.3012283	0.6618446	0.992801	-0.098979644	0.5510259	-1.1671039	0.99978137	1.7191166	-1.4067098	0.84763914	-0.9907143	0.06427977	0.8473519	0.8144287	0.70836663	0.32009926	-0.35479215	-0.09572738	1.3505428	-1.1214406	-0.19432515	0.8333265	-1.4701846	-0.062284824	-1.3017765	1.1201817	-0.44245583	-0.0522539	-2.1350389	-0.6553793	-1.27166	0.6091413	-0.00025999142	-0.39789128	-0.7299732	0.3288141	0.36590183	0.2776522	-0.055507462	1.7638472	1.1236262	-0.5937273	-0.2518181	0.6169551	-0.7204798	-0.34104905	0.6931821	1.4561093	0.0039379224	1.3367817	0.8468267	-0.024441017	-1.5362818	0.81039655	-1.4038248	0.7717221	2.0330622	SPO7
8	YAL010C	0.6048818	1.0442637	-0.5984606	-0.8271723	0.06935959	-0.24826191	-0.3803167	-0.07582428	0.306605	-0.058902662	-0.60796434	-0.928593	0.77522874	-0.40839544	-0.090735264	1.304683	0.052871745	-0.0764302	0.20067385	0.11569867	0.33412033	0.010605009	-0.33050996	0.107623726	-0.63005394	1.1457024	-0.56998885	-0.43193477	-0.40161633	1.8610181	1.097707	1.75344	0.47723705	-0.63793564	-0.26404256	-0.5137736	-0.44636053	0.2695533	-0.21288605	0.6968582	-0.5389567	0.8268888	-0.52500623	-0.13001592	-0.25212428	-1.7225459	-0.5651527	1.1081316	0.5371308	-0.74679154	-0.73936725	0.4052502	-0.2716569	0.6230484	-0.31073633	-0.6535021	-0.015136588	0.2846829	0.46496502	-0.5081748	-0.13788225	0.123077855	-0.049853653	0.0683485	-0.11243435	-0.5605885	-1.5951138	-0.6951296	0.2715726	-0.22988641	0.59996146	0.5737437	1.3483509	0.36204064	-0.20876798	0.043569278	-0.573413	0.10817535	0.45367748	-0.40094438	0.88054645	0.13951123	0.20871426	0.42898163	0.2774711	-0.73921615	1.0539708	-0.99403334	0.16826698	0.031226113	0.7561523	-1.018293	-0.09096527	-1.2555248	-1.1367326	-1.5423625	1.0422915	0.021719744	-0.41564614	-1.7691389	-0.5364143	0.53841114	-0.47564894	0.09879054	0.40513867	0.2706224	0.8544307	-0.12109388	0.48458245	-0.24037115	0.43432593	0.086327784	0.13016304	-0.20672739	-0.015042811	-0.058683764	0.18192042	0.81384325	0.45387194	-0.34765786	0.9715958	0.10454797	1.0434699	-0.2962837	0.56829613	0.3543142	0.39572945	0.8456127	MDM10
9	YAL011W	1.022052	-1.1534231	0.7196301	0.13672261	0.62676823	-0.30533758	0.56916547	-0.6891166	0.036306564	1.189072	-0.14378946	-0.9936423	0.28911102	0.12385682	-0.6956148	1.2672024	0.92876965	-0.5687307	-0.4666379	0.09403302	0.13674414	-1.0284945	0.0017880843	0.41825908	-0.5274092	0.8834023	0.29628173	0.43527877	-1.2764872	-0.0014711783	-0.082327016	-0.091554284	0.6645567	0.11849783	-0.17148362	-0.04314955	-0.3291774	0.114466794	0.07000613	0.27384153	0.018142514	-0.035865925	-0.07493644	0.5540247	0.5919712	-1.0664579	-0.47966966	-0.6362472	-0.80117995	-0.99466836	-0.3069946	0.21851413	-0.22458544	-0.1522575	0.1532037	-0.7234664	0.29650044	0.57150507	0.2876396	-0.39832518	-0.22759056	-0.11831774	-0.49236482	-0.39263925	-0.66986793	-0.24825665	-1.2458881	0.7606365	-0.14509436	1.151913	-0.027224718	0.6126336	-0.28931934	-1.4508402	-0.75059354	-0.115767546	-0.7472524	1.1509889	0.8925686	0.34563974	1.7046586	-0.77570367	0.49119458	0.52566385	1.0443579	0.82035875	-0.3119447	-0.28379613	0.12516257	-0.02107022	0.18403779	-1.2749983	0.79222083	-0.48052076	0.668945	-0.14652036	0.16327842	-0.24222872	-1.0554917	-1.4622915	0.93599707	0.041052494	0.89939386	1.0348506	1.1176773	0.13615853	-1.3010837	0.021163879	0.41760457	-1.4061791	-0.0926557	-0.065168574	0.7538145	1.3016404	0.3166249	1.0495133	-1.4146153	0.56541467	0.8886275	-0.062056195	1.1246077	1.3284497	0.37958744	0.69137305	0.59826297	-0.24136907	1.67681	1.2071869	SWC3
10	YAL012W	0.5010531	-0.070540845	-0.3410902	-0.084941685	-0.68643814	0.4915461	-0.25862056	0.13497527	-1.3824929	1.430012	-0.54229444	-0.6632186	-0.7515424	-0.4927571	0.10972777	-1.5366814	-0.5194355	-1.8534193	0.8409069	-1.282669	-0.32517344	-0.005647274	-0.4786362	1.1068864	-0.37037054	0.7444584	0.22864659	0.7975985	-1.2328829	0.8629492	1.0040516	2.702287	-0.13738944	-1.186022	-0.16362387	-1.2296966	-0.21503228	1.6971773	0.4648386	0.03498671	-0.43654278	-0.3841182	1.2008808	0.18478008	-1.1422018	-1.3270504	-0.8691947	0.3825463	0.34070352	-0.5086505	0.6510325	0.49859273	0.07751909	-0.15652844	-0.84118503	-0.8828327	0.79037887	0.07244024	0.3796473	0.8381014	-0.79735345	-1.1865416	0.3770132	-0.19086426	-1.0484581	-0.62058026	-0.6618507	0.4089441	0.15434916	-0.41358116	1.0063177	1.5897093	0.90356153	-0.5283246	-1.6831568	-1.5680903	-0.7699381	0.21236035	0.6565719	-0.44656262	1.8316293	-1.718608	-0.80599076	2.144408	0.73731667	0.22000732	0.5324425	-0.3905873	0.04843479	0.46794218	-0.11759854	-1.2474918	0.011966952	-0.6526615	0.186633	0.48756173	0.118170306	0.66074634	-0.9157119	-2.261093	0.67114824	-0.013482135	-0.92005146	0.016679965	-0.9932317	-0.62760705	-0.5529914	0.89686424	-1.6692215	-1.3285931	0.89446473	0.6509808	0.33969235	-0.54791254	1.148554	-0.069924295	-0.46025395	-0.46949294	0.20250957	-0.04605101	1.900282	1.5428439	0.45257115	-0.16590549	-0.36286017	-0.5778419	-0.9919695	2.1371217	CYS3
11	YAL013W	0.4629906	-0.5287069	0.166792	0.05562189	0.20933162	-0.3889766	0.9909899	0.34504566	0.11738107	1.1874748	-0.14191893	-1.0357765	-0.051314827	-0.32055297	-0.13921121	0.7210788	0.47031265	-0.9185463	0.20110416	-0.27733862	0.20462643	-0.7133126	-0.57894224	0.2561187	-1.1405536	0.080317885	0.78240705	0.057709366	-0.15498203	-0.058353852	0.5281718	-0.0024767667	0.4169758	0.5724933	-0.35420635	-0.7982764	-0.14311491	0.53025734	-0.93824977	0.3493033	-0.21608554	0.265063	-0.32373855	-0.3769452	-1.3176386e-05	-1.0374359	0.4777862	0.25810763	0.122739166	-0.35001728	-0.055837996	0.46019074	0.65100837	0.1611349	-0.027450517	-1.7000593	0.16879196	0.7108576	0.53915864	-0.016524522	-0.29067212	0.6355176	0.5250631	-0.38500026	-1.0588207	-0.81592745	-1.052681	-0.59083706	-0.4246622	0.87755156	-0.05159259	1.3282278	0.8448403	-0.2424257	-0.0948522	0.5451008	-0.4309523	0.5521684	0.93189377	0.20155461	0.5240981	-0.77355975	-0.77113336	-0.3408839	0.4515541	0.5565273	0.05600075	-0.43070415	0.7851132	-0.26445386	0.1047673	-0.07094407	0.50895435	-0.12160724	0.0046996293	-0.16118567	0.27207616	0.09880957	-0.42622423	-0.5501511	0.65410095	-0.8906373	1.1071713	0.3312007	0.040087003	-0.54232156	-1.2894695	-0.45731205	0.9375482	-0.53437096	0.50754386	-0.41494042	1.3185389	1.2635046	0.35167602	0.73756844	-0.7391169	0.27647892	0.11017798	-0.044929184	-0.42892987	-0.04838724	0.19516736	-0.064069815	-0.16788436	-0.3091946	-0.010548841	0.23411681	DEP1
12	YAL014C	0.33466047	-0.29499656	0.11419274	0.19150572	-0.08790917	-0.22686285	0.38741452	-0.56217813	0.1401679	0.36921847	-0.5134504	-1.0347513	-0.0049178284	0.27092063	0.032110505	0.6036848	-0.12579957	-0.44305176	-0.425685	0.3147929	0.1871803	-0.38822147	0.36027357	-0.15913323	0.16894941	0.75557137	-0.26934236	-0.45144427	-0.33200133	0.24910934	-0.29901937	0.15595731	0.09203467	-0.12754951	0.31338862	-0.1499958	0.17031819	0.15476437	-0.08373534	0.34872758	-0.43160257	0.46680102	-0.051625688	-0.10205079	-0.16162784	-0.5244611	0.06087597	0.13079815	0.35044175	0.20265742	-0.407372	0.059798017	0.20200576	-0.16317724	-0.54536873	-0.48117882	-0.27610925	0.13130865	0.20869619	-0.034044366	-0.115139194	-0.226105	-0.7497435	0.6338075	-0.64584017	-0.7485891	-0.50554425	-0.21566592	0.46057433	0.24586512	0.362708	-0.16146496	-0.38442925	-0.12356877	-0.3105084	0.060563345	0.10409285	0.40763098	0.220627	-0.24909861	0.043461975	-0.033387106	-0.12131237	0.021098088	0.46705005	0.48410568	0.58429885	-0.7957883	0.15955098	0.34991303	0.64469814	0.06475255	0.6317276	-0.12693658	-0.12574457	-0.10533735	0.058051974	0.20795134	0.3003543	-0.2636747	-0.1086305	-0.06338874	0.49234706	0.3392192	0.37643465	0.19059812	-0.04202742	0.30982813	-0.104007535	-0.4401265	-0.2356408	-0.2932072	-0.54289	0.6107489	0.21941215	0.09373565	-0.23610497	0.59300345	0.5926879	0.13862489	0.24023904	-0.34113073	0.19164364	0.21438397	0.31952643	-0.31979144	0.19317749	0.65151143	SYN8
